image_path,identity
data/raw/Task_B/train\007_frontal\distortion\007_frontal_resized.jpg,007_frontal
data/raw/Task_B/train\007_frontal\distortion\007_frontal_sunny.jpg,007_frontal
data/raw/Task_B/train\008_frontal\008_frontal.jpg,008_frontal
data/raw/Task_B/train\008_frontal\distortion\008_frontal_blurred.jpg,008_frontal
data/raw/Task_B/train\008_frontal\distortion\008_frontal_foggy.jpg,008_frontal
data/raw/Task_B/train\008_frontal\distortion\008_frontal_lowlight.jpg,008_frontal
data/raw/Task_B/train\008_frontal\distortion\008_frontal_noisy.jpg,008_frontal
data/raw/Task_B/train\008_frontal\distortion\008_frontal_rainy.jpg,008_frontal
data/raw/Task_B/train\008_frontal\distortion\008_frontal_resized.jpg,008_frontal
data/raw/Task_B/train\008_frontal\distortion\008_frontal_sunny.jpg,008_frontal
data/raw/Task_B/train\010_frontal\010_frontal.jpg,010_frontal
data/raw/Task_B/train\010_frontal\distortion\010_frontal_blurred.jpg,010_frontal
data/raw/Task_B/train\010_frontal\distortion\010_frontal_foggy.jpg,010_frontal
data/raw/Task_B/train\010_frontal\distortion\010_frontal_lowlight.jpg,010_frontal
data/raw/Task_B/train\010_frontal\distortion\010_frontal_noisy.jpg,010_frontal
data/raw/Task_B/train\010_frontal\distortion\010_frontal_rainy.jpg,010_frontal
data/raw/Task_B/train\010_frontal\distortion\010_frontal_resized.jpg,010_frontal
data/raw/Task_B/train\010_frontal\distortion\010_frontal_sunny.jpg,010_frontal
data/raw/Task_B/train\011_frontal\011_frontal.jpg,011_frontal
data/raw/Task_B/train\011_frontal\distortion\011_frontal_blurred.jpg,011_frontal
data/raw/Task_B/train\011_frontal\distortion\011_frontal_foggy.jpg,011_frontal
data/raw/Task_B/train\011_frontal\distortion\011_frontal_lowlight.jpg,011_frontal
data/raw/Task_B/train\011_frontal\distortion\011_frontal_noisy.jpg,011_frontal
data/raw/Task_B/train\011_frontal\distortion\011_frontal_rainy.jpg,011_frontal
data/raw/Task_B/train\011_frontal\distortion\011_frontal_resized.jpg,011_frontal
data/raw/Task_B/train\011_frontal\distortion\011_frontal_sunny.jpg,011_frontal
data/raw/Task_B/train\012_frontal\012_frontal.jpg,012_frontal
data/raw/Task_B/train\012_frontal\distortion\012_frontal_blurred.jpg,012_frontal
data/raw/Task_B/train\012_frontal\distortion\012_frontal_foggy.jpg,012_frontal
data/raw/Task_B/train\012_frontal\distortion\012_frontal_lowlight.jpg,012_frontal
data/raw/Task_B/train\012_frontal\distortion\012_frontal_noisy.jpg,012_frontal
data/raw/Task_B/train\012_frontal\distortion\012_frontal_rainy.jpg,012_frontal
data/raw/Task_B/train\012_frontal\distortion\012_frontal_resized.jpg,012_frontal
data/raw/Task_B/train\012_frontal\distortion\012_frontal_sunny.jpg,012_frontal
data/raw/Task_B/train\013_frontal\013_frontal.jpg,013_frontal
data/raw/Task_B/train\013_frontal\distortion\013_frontal_blurred.jpg,013_frontal
data/raw/Task_B/train\013_frontal\distortion\013_frontal_foggy.jpg,013_frontal
data/raw/Task_B/train\013_frontal\distortion\013_frontal_lowlight.jpg,013_frontal
data/raw/Task_B/train\013_frontal\distortion\013_frontal_noisy.jpg,013_frontal
data/raw/Task_B/train\013_frontal\distortion\013_frontal_rainy.jpg,013_frontal
data/raw/Task_B/train\013_frontal\distortion\013_frontal_resized.jpg,013_frontal
data/raw/Task_B/train\013_frontal\distortion\013_frontal_sunny.jpg,013_frontal
data/raw/Task_B/train\014_frontal\014_frontal.jpg,014_frontal
data/raw/Task_B/train\014_frontal\distortion\014_frontal_blurred.jpg,014_frontal
data/raw/Task_B/train\014_frontal\distortion\014_frontal_foggy.jpg,014_frontal
data/raw/Task_B/train\014_frontal\distortion\014_frontal_lowlight.jpg,014_frontal
data/raw/Task_B/train\014_frontal\distortion\014_frontal_noisy.jpg,014_frontal
data/raw/Task_B/train\014_frontal\distortion\014_frontal_rainy.jpg,014_frontal
data/raw/Task_B/train\014_frontal\distortion\014_frontal_resized.jpg,014_frontal
data/raw/Task_B/train\014_frontal\distortion\014_frontal_sunny.jpg,014_frontal
data/raw/Task_B/train\015_frontal\015_frontal.jpg,015_frontal
data/raw/Task_B/train\015_frontal\distortion\015_frontal_blurred.jpg,015_frontal
data/raw/Task_B/train\015_frontal\distortion\015_frontal_foggy.jpg,015_frontal
data/raw/Task_B/train\015_frontal\distortion\015_frontal_lowlight.jpg,015_frontal
data/raw/Task_B/train\015_frontal\distortion\015_frontal_noisy.jpg,015_frontal
data/raw/Task_B/train\015_frontal\distortion\015_frontal_rainy.jpg,015_frontal
data/raw/Task_B/train\015_frontal\distortion\015_frontal_resized.jpg,015_frontal
data/raw/Task_B/train\015_frontal\distortion\015_frontal_sunny.jpg,015_frontal
data/raw/Task_B/train\016_frontal\016_frontal.jpg,016_frontal
data/raw/Task_B/train\016_frontal\distortion\016_frontal_blurred.jpg,016_frontal
data/raw/Task_B/train\016_frontal\distortion\016_frontal_foggy.jpg,016_frontal
data/raw/Task_B/train\016_frontal\distortion\016_frontal_lowlight.jpg,016_frontal
data/raw/Task_B/train\016_frontal\distortion\016_frontal_noisy.jpg,016_frontal
data/raw/Task_B/train\016_frontal\distortion\016_frontal_rainy.jpg,016_frontal
data/raw/Task_B/train\016_frontal\distortion\016_frontal_resized.jpg,016_frontal
data/raw/Task_B/train\016_frontal\distortion\016_frontal_sunny.jpg,016_frontal
data/raw/Task_B/train\019_frontal\019_frontal.jpg,019_frontal
data/raw/Task_B/train\019_frontal\distortion\019_frontal_blurred.jpg,019_frontal
data/raw/Task_B/train\019_frontal\distortion\019_frontal_foggy.jpg,019_frontal
data/raw/Task_B/train\019_frontal\distortion\019_frontal_lowlight.jpg,019_frontal
data/raw/Task_B/train\019_frontal\distortion\019_frontal_noisy.jpg,019_frontal
data/raw/Task_B/train\019_frontal\distortion\019_frontal_rainy.jpg,019_frontal
data/raw/Task_B/train\019_frontal\distortion\019_frontal_resized.jpg,019_frontal
data/raw/Task_B/train\019_frontal\distortion\019_frontal_sunny.jpg,019_frontal
data/raw/Task_B/train\020_frontal\020_frontal.jpg,020_frontal
data/raw/Task_B/train\020_frontal\distortion\020_frontal_blurred.jpg,020_frontal
data/raw/Task_B/train\020_frontal\distortion\020_frontal_foggy.jpg,020_frontal
data/raw/Task_B/train\020_frontal\distortion\020_frontal_lowlight.jpg,020_frontal
data/raw/Task_B/train\020_frontal\distortion\020_frontal_noisy.jpg,020_frontal
data/raw/Task_B/train\020_frontal\distortion\020_frontal_rainy.jpg,020_frontal
data/raw/Task_B/train\020_frontal\distortion\020_frontal_resized.jpg,020_frontal
data/raw/Task_B/train\020_frontal\distortion\020_frontal_sunny.jpg,020_frontal
data/raw/Task_B/train\021_frontal\021_frontal.jpg,021_frontal
data/raw/Task_B/train\021_frontal\distortion\021_frontal_blurred.jpg,021_frontal
data/raw/Task_B/train\021_frontal\distortion\021_frontal_foggy.jpg,021_frontal
data/raw/Task_B/train\021_frontal\distortion\021_frontal_lowlight.jpg,021_frontal
data/raw/Task_B/train\021_frontal\distortion\021_frontal_noisy.jpg,021_frontal
data/raw/Task_B/train\021_frontal\distortion\021_frontal_rainy.jpg,021_frontal
data/raw/Task_B/train\021_frontal\distortion\021_frontal_resized.jpg,021_frontal
data/raw/Task_B/train\021_frontal\distortion\021_frontal_sunny.jpg,021_frontal
data/raw/Task_B/train\022_frontal\022_frontal.jpg,022_frontal
data/raw/Task_B/train\022_frontal\distortion\022_frontal_blurred.jpg,022_frontal
data/raw/Task_B/train\022_frontal\distortion\022_frontal_foggy.jpg,022_frontal
data/raw/Task_B/train\022_frontal\distortion\022_frontal_lowlight.jpg,022_frontal
data/raw/Task_B/train\022_frontal\distortion\022_frontal_noisy.jpg,022_frontal
data/raw/Task_B/train\022_frontal\distortion\022_frontal_rainy.jpg,022_frontal
data/raw/Task_B/train\022_frontal\distortion\022_frontal_resized.jpg,022_frontal
data/raw/Task_B/train\022_frontal\distortion\022_frontal_sunny.jpg,022_frontal
data/raw/Task_B/train\025_frontal\025_frontal.jpg,025_frontal
data/raw/Task_B/train\025_frontal\distortion\025_frontal_blurred.jpg,025_frontal
data/raw/Task_B/train\025_frontal\distortion\025_frontal_foggy.jpg,025_frontal
data/raw/Task_B/train\025_frontal\distortion\025_frontal_lowlight.jpg,025_frontal
data/raw/Task_B/train\025_frontal\distortion\025_frontal_noisy.jpg,025_frontal
data/raw/Task_B/train\025_frontal\distortion\025_frontal_rainy.jpg,025_frontal
data/raw/Task_B/train\025_frontal\distortion\025_frontal_resized.jpg,025_frontal
data/raw/Task_B/train\025_frontal\distortion\025_frontal_sunny.jpg,025_frontal
data/raw/Task_B/train\026_frontal\026_frontal.jpg,026_frontal
data/raw/Task_B/train\026_frontal\distortion\026_frontal_blurred.jpg,026_frontal
data/raw/Task_B/train\026_frontal\distortion\026_frontal_foggy.jpg,026_frontal
data/raw/Task_B/train\026_frontal\distortion\026_frontal_lowlight.jpg,026_frontal
data/raw/Task_B/train\026_frontal\distortion\026_frontal_noisy.jpg,026_frontal
data/raw/Task_B/train\026_frontal\distortion\026_frontal_rainy.jpg,026_frontal
data/raw/Task_B/train\026_frontal\distortion\026_frontal_resized.jpg,026_frontal
data/raw/Task_B/train\026_frontal\distortion\026_frontal_sunny.jpg,026_frontal
data/raw/Task_B/train\027_frontal\027_frontal.jpg,027_frontal
data/raw/Task_B/train\027_frontal\distortion\027_frontal_blurred.jpg,027_frontal
data/raw/Task_B/train\027_frontal\distortion\027_frontal_foggy.jpg,027_frontal
data/raw/Task_B/train\027_frontal\distortion\027_frontal_lowlight.jpg,027_frontal
data/raw/Task_B/train\027_frontal\distortion\027_frontal_noisy.jpg,027_frontal
data/raw/Task_B/train\027_frontal\distortion\027_frontal_rainy.jpg,027_frontal
data/raw/Task_B/train\027_frontal\distortion\027_frontal_resized.jpg,027_frontal
data/raw/Task_B/train\027_frontal\distortion\027_frontal_sunny.jpg,027_frontal
data/raw/Task_B/train\028_frontal\028_frontal.jpg,028_frontal
data/raw/Task_B/train\028_frontal\distortion\028_frontal_blurred.jpg,028_frontal
data/raw/Task_B/train\028_frontal\distortion\028_frontal_foggy.jpg,028_frontal
data/raw/Task_B/train\028_frontal\distortion\028_frontal_lowlight.jpg,028_frontal
data/raw/Task_B/train\028_frontal\distortion\028_frontal_noisy.jpg,028_frontal
data/raw/Task_B/train\028_frontal\distortion\028_frontal_rainy.jpg,028_frontal
data/raw/Task_B/train\028_frontal\distortion\028_frontal_resized.jpg,028_frontal
data/raw/Task_B/train\028_frontal\distortion\028_frontal_sunny.jpg,028_frontal
data/raw/Task_B/train\029_frontal\029_frontal.jpg,029_frontal
data/raw/Task_B/train\029_frontal\distortion\029_frontal_blurred.jpg,029_frontal
data/raw/Task_B/train\029_frontal\distortion\029_frontal_foggy.jpg,029_frontal
data/raw/Task_B/train\029_frontal\distortion\029_frontal_lowlight.jpg,029_frontal
data/raw/Task_B/train\029_frontal\distortion\029_frontal_noisy.jpg,029_frontal
data/raw/Task_B/train\029_frontal\distortion\029_frontal_rainy.jpg,029_frontal
data/raw/Task_B/train\029_frontal\distortion\029_frontal_resized.jpg,029_frontal
data/raw/Task_B/train\029_frontal\distortion\029_frontal_sunny.jpg,029_frontal
data/raw/Task_B/train\030_frontal\030_frontal.jpg,030_frontal
data/raw/Task_B/train\030_frontal\distortion\030_frontal_blurred.jpg,030_frontal
data/raw/Task_B/train\030_frontal\distortion\030_frontal_foggy.jpg,030_frontal
data/raw/Task_B/train\030_frontal\distortion\030_frontal_lowlight.jpg,030_frontal
data/raw/Task_B/train\030_frontal\distortion\030_frontal_noisy.jpg,030_frontal
data/raw/Task_B/train\030_frontal\distortion\030_frontal_rainy.jpg,030_frontal
data/raw/Task_B/train\030_frontal\distortion\030_frontal_resized.jpg,030_frontal
data/raw/Task_B/train\030_frontal\distortion\030_frontal_sunny.jpg,030_frontal
data/raw/Task_B/train\031_frontal\031_frontal.jpg,031_frontal
data/raw/Task_B/train\031_frontal\distortion\031_frontal_blurred.jpg,031_frontal
data/raw/Task_B/train\031_frontal\distortion\031_frontal_foggy.jpg,031_frontal
data/raw/Task_B/train\031_frontal\distortion\031_frontal_lowlight.jpg,031_frontal
data/raw/Task_B/train\031_frontal\distortion\031_frontal_noisy.jpg,031_frontal
data/raw/Task_B/train\031_frontal\distortion\031_frontal_rainy.jpg,031_frontal
data/raw/Task_B/train\031_frontal\distortion\031_frontal_resized.jpg,031_frontal
data/raw/Task_B/train\031_frontal\distortion\031_frontal_sunny.jpg,031_frontal
data/raw/Task_B/train\032_frontal\032_frontal.jpg,032_frontal
data/raw/Task_B/train\032_frontal\distortion\032_frontal_blurred.jpg,032_frontal
data/raw/Task_B/train\032_frontal\distortion\032_frontal_foggy.jpg,032_frontal
data/raw/Task_B/train\032_frontal\distortion\032_frontal_lowlight.jpg,032_frontal
data/raw/Task_B/train\032_frontal\distortion\032_frontal_noisy.jpg,032_frontal
data/raw/Task_B/train\032_frontal\distortion\032_frontal_rainy.jpg,032_frontal
data/raw/Task_B/train\032_frontal\distortion\032_frontal_resized.jpg,032_frontal
data/raw/Task_B/train\032_frontal\distortion\032_frontal_sunny.jpg,032_frontal
data/raw/Task_B/train\035_frontal\035_frontal.jpg,035_frontal
data/raw/Task_B/train\035_frontal\distortion\035_frontal_blurred.jpg,035_frontal
data/raw/Task_B/train\035_frontal\distortion\035_frontal_foggy.jpg,035_frontal
data/raw/Task_B/train\035_frontal\distortion\035_frontal_lowlight.jpg,035_frontal
data/raw/Task_B/train\035_frontal\distortion\035_frontal_noisy.jpg,035_frontal
data/raw/Task_B/train\035_frontal\distortion\035_frontal_rainy.jpg,035_frontal
data/raw/Task_B/train\035_frontal\distortion\035_frontal_resized.jpg,035_frontal
data/raw/Task_B/train\035_frontal\distortion\035_frontal_sunny.jpg,035_frontal
data/raw/Task_B/train\036_frontal\036_frontal.jpg,036_frontal
data/raw/Task_B/train\036_frontal\distortion\036_frontal_blurred.jpg,036_frontal
data/raw/Task_B/train\036_frontal\distortion\036_frontal_foggy.jpg,036_frontal
data/raw/Task_B/train\036_frontal\distortion\036_frontal_lowlight.jpg,036_frontal
data/raw/Task_B/train\036_frontal\distortion\036_frontal_noisy.jpg,036_frontal
data/raw/Task_B/train\036_frontal\distortion\036_frontal_rainy.jpg,036_frontal
data/raw/Task_B/train\036_frontal\distortion\036_frontal_resized.jpg,036_frontal
data/raw/Task_B/train\036_frontal\distortion\036_frontal_sunny.jpg,036_frontal
data/raw/Task_B/train\038_frontal\038_frontal.jpg,038_frontal
data/raw/Task_B/train\038_frontal\distortion\038_frontal_blurred.jpg,038_frontal
data/raw/Task_B/train\038_frontal\distortion\038_frontal_foggy.jpg,038_frontal
data/raw/Task_B/train\038_frontal\distortion\038_frontal_lowlight.jpg,038_frontal
data/raw/Task_B/train\038_frontal\distortion\038_frontal_noisy.jpg,038_frontal
data/raw/Task_B/train\038_frontal\distortion\038_frontal_rainy.jpg,038_frontal
data/raw/Task_B/train\038_frontal\distortion\038_frontal_resized.jpg,038_frontal
data/raw/Task_B/train\038_frontal\distortion\038_frontal_sunny.jpg,038_frontal
data/raw/Task_B/train\039_frontal\039_frontal.jpg,039_frontal
data/raw/Task_B/train\039_frontal\distortion\039_frontal_blurred.jpg,039_frontal
data/raw/Task_B/train\039_frontal\distortion\039_frontal_foggy.jpg,039_frontal
data/raw/Task_B/train\039_frontal\distortion\039_frontal_lowlight.jpg,039_frontal
data/raw/Task_B/train\039_frontal\distortion\039_frontal_noisy.jpg,039_frontal
data/raw/Task_B/train\039_frontal\distortion\039_frontal_rainy.jpg,039_frontal
data/raw/Task_B/train\039_frontal\distortion\039_frontal_resized.jpg,039_frontal
data/raw/Task_B/train\039_frontal\distortion\039_frontal_sunny.jpg,039_frontal
data/raw/Task_B/train\042_frontal\042_frontal.jpg,042_frontal
data/raw/Task_B/train\042_frontal\distortion\042_frontal_blurred.jpg,042_frontal
data/raw/Task_B/train\042_frontal\distortion\042_frontal_foggy.jpg,042_frontal
data/raw/Task_B/train\042_frontal\distortion\042_frontal_lowlight.jpg,042_frontal
data/raw/Task_B/train\042_frontal\distortion\042_frontal_noisy.jpg,042_frontal
data/raw/Task_B/train\042_frontal\distortion\042_frontal_rainy.jpg,042_frontal
data/raw/Task_B/train\042_frontal\distortion\042_frontal_resized.jpg,042_frontal
data/raw/Task_B/train\042_frontal\distortion\042_frontal_sunny.jpg,042_frontal
data/raw/Task_B/train\043_frontal\043_frontal.jpg,043_frontal
data/raw/Task_B/train\043_frontal\distortion\043_frontal_blurred.jpg,043_frontal
data/raw/Task_B/train\043_frontal\distortion\043_frontal_foggy.jpg,043_frontal
data/raw/Task_B/train\043_frontal\distortion\043_frontal_lowlight.jpg,043_frontal
data/raw/Task_B/train\043_frontal\distortion\043_frontal_noisy.jpg,043_frontal
data/raw/Task_B/train\043_frontal\distortion\043_frontal_rainy.jpg,043_frontal
data/raw/Task_B/train\043_frontal\distortion\043_frontal_resized.jpg,043_frontal
data/raw/Task_B/train\043_frontal\distortion\043_frontal_sunny.jpg,043_frontal
data/raw/Task_B/train\044_frontal\044_frontal.jpg,044_frontal
data/raw/Task_B/train\044_frontal\distortion\044_frontal_blurred.jpg,044_frontal
data/raw/Task_B/train\044_frontal\distortion\044_frontal_foggy.jpg,044_frontal
data/raw/Task_B/train\044_frontal\distortion\044_frontal_lowlight.jpg,044_frontal
data/raw/Task_B/train\044_frontal\distortion\044_frontal_noisy.jpg,044_frontal
data/raw/Task_B/train\044_frontal\distortion\044_frontal_rainy.jpg,044_frontal
data/raw/Task_B/train\044_frontal\distortion\044_frontal_resized.jpg,044_frontal
data/raw/Task_B/train\044_frontal\distortion\044_frontal_sunny.jpg,044_frontal
data/raw/Task_B/train\045_frontal\045_frontal.jpg,045_frontal
data/raw/Task_B/train\045_frontal\distortion\045_frontal_blurred.jpg,045_frontal
data/raw/Task_B/train\045_frontal\distortion\045_frontal_foggy.jpg,045_frontal
data/raw/Task_B/train\045_frontal\distortion\045_frontal_lowlight.jpg,045_frontal
data/raw/Task_B/train\045_frontal\distortion\045_frontal_noisy.jpg,045_frontal
data/raw/Task_B/train\045_frontal\distortion\045_frontal_rainy.jpg,045_frontal
data/raw/Task_B/train\045_frontal\distortion\045_frontal_resized.jpg,045_frontal
data/raw/Task_B/train\045_frontal\distortion\045_frontal_sunny.jpg,045_frontal
data/raw/Task_B/train\047_frontal\047_frontal.jpg,047_frontal
data/raw/Task_B/train\047_frontal\distortion\047_frontal_blurred.jpg,047_frontal
data/raw/Task_B/train\047_frontal\distortion\047_frontal_foggy.jpg,047_frontal
data/raw/Task_B/train\047_frontal\distortion\047_frontal_lowlight.jpg,047_frontal
data/raw/Task_B/train\047_frontal\distortion\047_frontal_noisy.jpg,047_frontal
data/raw/Task_B/train\047_frontal\distortion\047_frontal_rainy.jpg,047_frontal
data/raw/Task_B/train\047_frontal\distortion\047_frontal_resized.jpg,047_frontal
data/raw/Task_B/train\047_frontal\distortion\047_frontal_sunny.jpg,047_frontal
data/raw/Task_B/train\048_frontal\048_frontal.jpg,048_frontal
data/raw/Task_B/train\048_frontal\distortion\048_frontal_blurred.jpg,048_frontal
data/raw/Task_B/train\048_frontal\distortion\048_frontal_foggy.jpg,048_frontal
data/raw/Task_B/train\048_frontal\distortion\048_frontal_lowlight.jpg,048_frontal
data/raw/Task_B/train\048_frontal\distortion\048_frontal_noisy.jpg,048_frontal
data/raw/Task_B/train\048_frontal\distortion\048_frontal_rainy.jpg,048_frontal
data/raw/Task_B/train\048_frontal\distortion\048_frontal_resized.jpg,048_frontal
data/raw/Task_B/train\048_frontal\distortion\048_frontal_sunny.jpg,048_frontal
data/raw/Task_B/train\051_frontal\051_frontal.jpg,051_frontal
data/raw/Task_B/train\051_frontal\distortion\051_frontal_blurred.jpg,051_frontal
data/raw/Task_B/train\051_frontal\distortion\051_frontal_foggy.jpg,051_frontal
data/raw/Task_B/train\051_frontal\distortion\051_frontal_lowlight.jpg,051_frontal
data/raw/Task_B/train\051_frontal\distortion\051_frontal_noisy.jpg,051_frontal
data/raw/Task_B/train\051_frontal\distortion\051_frontal_rainy.jpg,051_frontal
data/raw/Task_B/train\051_frontal\distortion\051_frontal_resized.jpg,051_frontal
data/raw/Task_B/train\051_frontal\distortion\051_frontal_sunny.jpg,051_frontal
data/raw/Task_B/train\053_frontal\053_frontal.jpg,053_frontal
data/raw/Task_B/train\053_frontal\distortion\053_frontal_blurred.jpg,053_frontal
data/raw/Task_B/train\053_frontal\distortion\053_frontal_foggy.jpg,053_frontal
data/raw/Task_B/train\053_frontal\distortion\053_frontal_lowlight.jpg,053_frontal
data/raw/Task_B/train\053_frontal\distortion\053_frontal_noisy.jpg,053_frontal
data/raw/Task_B/train\053_frontal\distortion\053_frontal_rainy.jpg,053_frontal
data/raw/Task_B/train\053_frontal\distortion\053_frontal_resized.jpg,053_frontal
data/raw/Task_B/train\053_frontal\distortion\053_frontal_sunny.jpg,053_frontal
data/raw/Task_B/train\054_frontal\054_frontal.jpg,054_frontal
data/raw/Task_B/train\054_frontal\distortion\054_frontal_blurred.jpg,054_frontal
data/raw/Task_B/train\054_frontal\distortion\054_frontal_foggy.jpg,054_frontal
data/raw/Task_B/train\054_frontal\distortion\054_frontal_lowlight.jpg,054_frontal
data/raw/Task_B/train\054_frontal\distortion\054_frontal_noisy.jpg,054_frontal
data/raw/Task_B/train\054_frontal\distortion\054_frontal_rainy.jpg,054_frontal
data/raw/Task_B/train\054_frontal\distortion\054_frontal_resized.jpg,054_frontal
data/raw/Task_B/train\054_frontal\distortion\054_frontal_sunny.jpg,054_frontal
data/raw/Task_B/train\055_frontal\055_frontal.jpg,055_frontal
data/raw/Task_B/train\055_frontal\distortion\055_frontal_blurred.jpg,055_frontal
data/raw/Task_B/train\055_frontal\distortion\055_frontal_foggy.jpg,055_frontal
data/raw/Task_B/train\055_frontal\distortion\055_frontal_lowlight.jpg,055_frontal
data/raw/Task_B/train\055_frontal\distortion\055_frontal_noisy.jpg,055_frontal
data/raw/Task_B/train\055_frontal\distortion\055_frontal_rainy.jpg,055_frontal
data/raw/Task_B/train\055_frontal\distortion\055_frontal_resized.jpg,055_frontal
data/raw/Task_B/train\055_frontal\distortion\055_frontal_sunny.jpg,055_frontal
data/raw/Task_B/train\056_frontal\056_frontal.jpg,056_frontal
data/raw/Task_B/train\056_frontal\distortion\056_frontal_blurred.jpg,056_frontal
data/raw/Task_B/train\056_frontal\distortion\056_frontal_foggy.jpg,056_frontal
data/raw/Task_B/train\056_frontal\distortion\056_frontal_lowlight.jpg,056_frontal
data/raw/Task_B/train\056_frontal\distortion\056_frontal_noisy.jpg,056_frontal
data/raw/Task_B/train\056_frontal\distortion\056_frontal_rainy.jpg,056_frontal
data/raw/Task_B/train\056_frontal\distortion\056_frontal_resized.jpg,056_frontal
data/raw/Task_B/train\056_frontal\distortion\056_frontal_sunny.jpg,056_frontal
data/raw/Task_B/train\057_frontal\057_frontal.jpg,057_frontal
data/raw/Task_B/train\057_frontal\distortion\057_frontal_blurred.jpg,057_frontal
data/raw/Task_B/train\057_frontal\distortion\057_frontal_foggy.jpg,057_frontal
data/raw/Task_B/train\057_frontal\distortion\057_frontal_lowlight.jpg,057_frontal
data/raw/Task_B/train\057_frontal\distortion\057_frontal_noisy.jpg,057_frontal
data/raw/Task_B/train\057_frontal\distortion\057_frontal_rainy.jpg,057_frontal
data/raw/Task_B/train\057_frontal\distortion\057_frontal_resized.jpg,057_frontal
data/raw/Task_B/train\057_frontal\distortion\057_frontal_sunny.jpg,057_frontal
data/raw/Task_B/train\059_frontal\059_frontal.jpg,059_frontal
data/raw/Task_B/train\059_frontal\distortion\059_frontal_blurred.jpg,059_frontal
data/raw/Task_B/train\059_frontal\distortion\059_frontal_foggy.jpg,059_frontal
data/raw/Task_B/train\059_frontal\distortion\059_frontal_lowlight.jpg,059_frontal
data/raw/Task_B/train\059_frontal\distortion\059_frontal_noisy.jpg,059_frontal
